line,SVG_score,canopy_height,canopy_volume_index,canopy_coverage,ExGR,NGRDI
AVMU0001,2.719466619,0.363748419,0.421209788,0.155616346,0.198522664,0.121481418
AVMU0201,3.09207692,0.372371373,0.437216643,0.16689067,0.165400624,0.112268069
AVMU09701,3.310105964,0.362381542,0.546376468,0.198793466,0.220710181,0.127208159
AVMU8501,3.065499229,0.38826178,0.527939228,0.183719922,0.211009917,0.129110018
Berken,3.215680484,0.373052418,0.540006319,0.200945556,0.208346903,0.123677987
CommChk1,3.119102284,0.373594279,0.515763683,0.196726674,0.201741932,0.124479677
CommChk2,3.79510653,0.416197198,0.715807988,0.24375664,0.241625384,0.143043805
Lincon,3.273935016,0.364547623,0.518307545,0.19330172,0.228914739,0.131084548
OK2000,3.643356539,0.393688052,0.625763087,0.216341439,0.211047458,0.12913475
PI163110,2.710882812,0.351991402,0.400551551,0.154295077,0.170951239,0.110106264
PI164726,3.453862349,0.39154235,0.602236611,0.210398605,0.201113925,0.120674128
PI164770,3.188610973,0.412471401,0.590026393,0.183290778,0.199056843,0.120743304
PI167295,2.833027181,0.311065094,0.348273186,0.157323018,0.164108632,0.104426094
PI179703,2.655601652,0.318717285,0.428154686,0.171140648,0.175575599,0.117765189
PI183458,3.166399977,0.360724545,0.544393685,0.206830546,0.233137804,0.132615672
PI183936,2.749439796,0.337880741,0.461754092,0.184850007,0.209781323,0.129141517
PI199355,2.618853888,0.324361336,0.388707307,0.168695891,0.193765204,0.127108253
PI201869,3.600632542,0.371869141,0.559131588,0.206254289,0.219717071,0.13136437
PI201874,2.978400696,0.35224044,0.490037492,0.186163831,0.19397706,0.115415916
PI213012,2.840024172,0.330947681,0.468916545,0.196246478,0.219512327,0.119222564
PI254557,2.823992842,0.338580111,0.270493082,0.126360151,0.166442388,0.100398486
PI264686,2.986314851,0.367621318,0.49940047,0.193087966,0.210341744,0.12290351
PI271401,3.198585348,0.316308281,0.440998267,0.199786921,0.192246701,0.116448509
PI271403,3.2189459,0.357614649,0.534795835,0.205585315,0.23461209,0.132930957
PI305413,2.790202691,0.337042206,0.416828115,0.171202751,0.182383813,0.116434397
PI346313,2.944638828,0.367215214,0.493416208,0.17352394,0.184134079,0.118453366
PI346315,2.891106819,0.343802044,0.431544427,0.175172636,0.172658145,0.110320784
PI362307,3.163062845,0.353894875,0.440244165,0.185337082,0.183676498,0.116318786
PI362309,2.798622397,0.359213103,0.440079193,0.171551936,0.172173803,0.113319453
PI362310,3.184629309,0.388836202,0.559996456,0.194925905,0.220007733,0.130662226
PI362311,2.826206673,0.340406167,0.467954471,0.193241562,0.219936626,0.130355869
PI362316,2.923296018,0.3533922,0.441097876,0.176211166,0.201714752,0.116330016
PI362322,3.272639514,0.375542223,0.54705412,0.203564243,0.196701528,0.123567177
PI362324,2.95134124,0.362030283,0.432651461,0.156962632,0.183553342,0.118612081
PI362326,3.086559239,0.344463915,0.496158395,0.196572508,0.19559672,0.12229914
PI362327,2.778213424,0.376044252,0.490395094,0.184655487,0.203955538,0.124888825
PI363147,2.890219144,0.364627306,0.483608657,0.185347445,0.181564814,0.116086885
PI363149,3.282579521,0.391615918,0.572343363,0.205462663,0.234821528,0.138263688
PI363152,2.655666338,0.334648433,0.404973686,0.170872842,0.211963981,0.127567956
PI363153,2.884970458,0.277530784,0.30230948,0.145117682,0.164180286,0.109601417
PI363190,2.744920547,0.338867712,0.434118417,0.174072273,0.168996996,0.109939407
PI363204,3.283774607,0.373069625,0.573909464,0.20837877,0.198679243,0.128641145
PI363222,2.836295722,0.343049416,0.474363694,0.188255617,0.233216767,0.128862538
PI363231,2.825733369,0.367080548,0.499727354,0.180863948,0.188684259,0.11777576
PI363271,2.635644851,0.319002174,0.327145559,0.147305361,0.173983695,0.105872425
PI363272,3.084323399,0.383357382,0.528111533,0.185282356,0.174595121,0.107738082
PI363301,2.72163179,0.362556661,0.425032825,0.167815489,0.183069523,0.118320638
PI363302,2.590356773,0.31512385,0.34159757,0.161212961,0.174496161,0.10992743
PI363315,2.855179473,0.364050477,0.465961543,0.178374589,0.184122881,0.117188235
PI363324,3.293556573,0.375908099,0.463722718,0.171650923,0.207338332,0.126660682
